label,area,eccentricity,solidity,mean_intensity,extent,perimeter
1,82.0,0.7691293285886397,0.9761904761904762,0.22219035029411316,0.6776859504132231,31.798989873223327
2,170.0,0.46737194617842664,0.9659090909090909,0.29088813066482544,0.8095238095238095,45.798989873223334
3,288.0,0.6463595300330325,0.9829351535836177,0.27391067147254944,0.8067226890756303,60.2842712474619
4,173.0,0.32913210972580076,0.9719101123595506,0.2218066155910492,0.7688888888888888,46.87005768508881
5,424.0,0.8005493804801977,0.8531187122736419,0.28590458631515503,0.5586297760210803,94.8111831820431
6,216.0,0.7810220644846587,0.9310344827586207,0.2132716178894043,0.6857142857142857,56.52691193458118
7,251.0,0.8140784549503685,0.9543726235741445,0.29230526089668274,0.7795031055900621,60.2842712474619
8,915.0,0.9652586068294349,0.7296650717703349,0.2961234450340271,0.3588235294117647,179.2670273047588
9,97.0,0.0,1.0,0.27147766947746277,0.8016528925619835,32.970562748477136
10,547.0,0.8904656984186535,0.8067846607669616,0.28309857845306396,0.5426587301587301,114.8111831820431
11,161.0,0.5326361791755809,0.9877300613496932,0.3060528635978699,0.8256410256410256,43.79898987322333
12,59.0,0.7469747916342906,1.0,0.21927551925182343,0.7662337662337663,26.14213562373095
13,257.0,0.533647272583882,0.9553903345724907,0.2060578316450119,0.7119113573407202,58.76955262170047
14,66.0,0.6270421833993649,0.9428571428571428,0.19833631813526154,0.6666666666666666,30.041630560342618
15,325.0,0.3388177709145197,0.9587020648967551,0.2027149349451065,0.7369614512471655,69.74011537017762
16,321.0,0.5172452394096072,0.9727272727272728,0.27129682898521423,0.7295454545454545,64.76955262170047
17,160.0,0.5430619893290646,0.963855421686747,0.21080882847309113,0.7111111111111111,44.87005768508881
18,179.0,0.6003703557570603,0.9572192513368984,0.21371455490589142,0.69921875,48.2842712474619
19,227.0,0.7077234211503146,0.9826839826839827,0.29363393783569336,0.7566666666666667,54.2842712474619
20,75.0,0.3279513612524543,0.9615384615384616,0.19769935309886932,0.6818181818181818,29.798989873223327
21,124.0,0.4329665455289836,0.9841269841269841,0.28469330072402954,0.7380952380952381,38.62741699796952
22,321.0,0.9007875160353229,0.8447368421052631,0.22534973919391632,0.6149425287356322,81.49747468305833
23,156.0,0.5666625712032528,0.968944099378882,0.2398441731929779,0.8,43.798989873223334
